@relation 'IM_auto-status_intelligibility-weka.filters.unsupervised.attribute.Remove-R105-118,121-weka.filters.unsupervised.attribute.Remove-R106-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ChiSquaredAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10-weka.filters.unsupervised.attribute.Remove-R3'

@attribute timeSinceLastOMsg numeric
@attribute log(lastOMsg) numeric
@attribute KBCountFeature(60) numeric
@attribute log(KBCountFeature(60)) numeric
@attribute KBCountFeature(30) numeric
@attribute log(KBCountFeature(30)) numeric
@attribute Focus {'out of focus','in focus'}
@attribute UserInputCountFeature(120) numeric
@attribute log(UserInputCountFeature(120)) numeric
@attribute _future_respondedWithin(60) {0,1}

@data
4,0.69897,80,1.908485,62,1.799341,'out of focus',584,2.767156,1
31052,4.492104,0,0,0,0,'out of focus',3155,3.499137,1
0,0,4,0.69897,4,0.69897,'out of focus',2939,3.468347,1
43,1.643453,82,1.919078,0,0,'out of focus',3205,3.505964,1
2,0.477121,32,1.518514,16,1.230449,'out of focus',3163,3.500236,1
4,0.69897,21,1.342423,16,1.230449,'out of focus',3204,3.505828,1
181,2.260071,0,0,0,0,'out of focus',3890,3.590061,1
181,2.260071,0,0,0,0,'out of focus',3890,3.590061,1
49,1.69897,4,0.69897,0,0,'out of focus',4467,3.650113,1
5,0.778151,44,1.653213,44,1.653213,'out of focus',4131,3.61616,1
9,1,76,1.886491,42,1.633468,'out of focus',4262,3.629715,1
4,0.69897,80,1.908485,36,1.568202,'out of focus',4195,3.622835,1
10,1.041393,80,1.908485,36,1.568202,'out of focus',3905,3.591732,1
13,1.146128,78,1.897627,21,1.342423,'out of focus',3826,3.582858,1
82,1.919078,0,0,0,0,'out of focus',1782,3.251151,0
12,1.113943,67,1.832509,55,1.748188,'out of focus',2309,3.363612,1
6,0.845098,101,2.0086,40,1.612784,'out of focus',2225,3.347525,1
4,0.69897,119,2.079181,61,1.792392,'out of focus',2060,3.314078,0
69,1.845098,0,0,0,0,'out of focus',538,2.731589,1
9,1,47,1.681241,47,1.681241,'out of focus',561,2.749736,1
32,1.518514,33,1.531479,0,0,'out of focus',219,2.342423,1
12,1.113943,43,1.643453,43,1.643453,'out of focus',3428,3.535167,1
1,0.30103,79,1.90309,36,1.568202,'out of focus',4257,3.629206,1
3,0.60206,89,1.954243,46,1.672098,'out of focus',4267,3.630224,1
3,0.60206,149,2.176091,106,2.029384,'out of focus',4362,3.639785,1
7,0.90309,117,2.071882,106,2.029384,'out of focus',4364,3.639984,1
9,1,117,2.071882,96,1.986772,'out of focus',4363,3.639885,1
7,0.90309,135,2.133539,29,1.477121,'out of focus',3017,3.479719,1
13,1.146128,150,2.178977,44,1.653213,'out of focus',2671,3.426836,1
13,1.146128,113,2.056905,47,1.681241,'out of focus',2219,3.346353,1
75,1.880814,2,0.477121,0,0,'out of focus',4009,3.603144,1
77,1.892095,2,0.477121,0,0,'out of focus',3990,3.601082,1
84,1.929419,2,0.477121,0,0,'out of focus',4125,3.615529,1
86,1.939519,2,0.477121,0,0,'out of focus',4175,3.62076,1
0,0,56,1.755875,56,1.755875,'out of focus',4195,3.622835,1
6,0.845098,56,1.755875,56,1.755875,'out of focus',4195,3.622835,1
16,1.230449,56,1.755875,56,1.755875,'out of focus',4192,3.622525,1
21,1.342423,56,1.755875,52,1.724276,'out of focus',4161,3.619302,1
26,1.431364,63,1.80618,30,1.491362,'out of focus',3970,3.5989,1
7,0.90309,63,1.80618,7,0.90309,'out of focus',3565,3.552181,1
10,1.041393,63,1.80618,7,0.90309,'out of focus',3497,3.54382,1
12,1.113943,63,1.80618,7,0.90309,'out of focus',3496,3.543696,1
19,1.30103,63,1.80618,7,0.90309,'out of focus',3111,3.49304,1
25,1.414973,59,1.778151,7,0.90309,'out of focus',2807,3.448397,1
38,1.591065,13,1.146128,6,0.845098,'out of focus',2129,3.32838,1
1,0.30103,37,1.579784,30,1.491362,'out of focus',1964,3.293363,1
16,1.230449,129,2.113943,122,2.089905,'out of focus',1184,3.073718,1
18,1.278754,137,2.139879,137,2.139879,'out of focus',1185,3.074085,1
5,0.778151,148,2.173186,146,2.167317,'out of focus',613,2.788168,1
22,1.361728,148,2.173186,50,1.70757,'out of focus',208,2.320146,1
38,1.591065,129,2.113943,0,0,'out of focus',159,2.20412,1
23,1.380211,206,2.31597,206,2.31597,'out of focus',904,2.956649,0
35,1.556303,296,2.472756,292,2.466868,'out of focus',1082,3.034628,0
42,1.633468,296,2.472756,246,2.392697,'out of focus',1261,3.101059,0
45,1.662758,296,2.472756,204,2.311754,'out of focus',1281,3.107888,0
28,1.462398,27,1.447158,9,1,'out of focus',1186,3.074451,0
29,1.477121,27,1.447158,5,0.778151,'out of focus',1188,3.075182,0
56,1.755875,51,1.716003,32,1.518514,'out of focus',2088,3.319938,1
68,1.838849,32,1.518514,7,0.90309,'out of focus',2559,3.40824,1
73,1.869232,32,1.518514,0,0,'out of focus',2560,3.40841,1
81,1.913814,32,1.518514,0,0,'out of focus',2734,3.436957,1
18,1.278754,86,1.939519,86,1.939519,'out of focus',3049,3.4843,0
19,1.30103,99,2,99,2,'out of focus',3148,3.498173,0
27,1.447158,99,2,68,1.838849,'out of focus',3512,3.545678,0
29,1.477121,99,2,51,1.716003,'out of focus',3580,3.554004,0
34,1.544068,101,2.0086,44,1.653213,'out of focus',3781,3.577722,0
41,1.623249,101,2.0086,42,1.633468,'out of focus',4222,3.625621,0
48,1.690196,101,2.0086,15,1.20412,'out of focus',4165,3.619719,0
60,1.78533,48,1.690196,6,0.845098,'out of focus',4304,3.633973,0
67,1.832509,48,1.690196,4,0.69897,'out of focus',4470,3.650405,1
73,1.869232,49,1.69897,7,0.90309,'out of focus',4384,3.64197,1
