@relation 'AccelerometerActivity_intelligibility'

@attribute x_energy numeric
@attribute x_mean numeric
@attribute x_sd numeric
@attribute xy_corr numeric
@attribute xz_corr numeric
@attribute y_energy numeric
@attribute y_mean numeric
@attribute y_sd numeric
@attribute yz_corr numeric
@attribute z_energy numeric
@attribute z_mean numeric
@attribute z_sd numeric

@attribute activity {Sit, Stand, Walk}

@data
14, 69, 19, 9, -4, 9, 22, 11, 9, 8, -10, 3, Sit
14, 69, 19, 9, -2, 6, 22, 11, 9, 6, -10, 2, Sit
14, 69, 19, 9, -2, 6, 22, 11, 9, 6, -10, 2, Sit
14, 69, 19, 9, 8, 6, 21, 11, 9, 6, -10, 2, Sit
14, 69, 19, 9, 8, 6, 21, 11, 9, 6, -10, 2, Sit
14, 69, 19, 9, 8, 6, 21, 11, 9, 6, -10, 2, Sit
14, 69, 12, 8, 8, 6, 21, 41, 9, 6, -10, 39, Sit
14, 68, 11, 7, 8, 6, 21, 41, 9, 6, -10, 39, Sit
14, 68, 11, 7, 8, 6, 21, 41, 9, 6, -10, 38, Sit
14, 68, 11, 7, 8, 6, 21, 41, 9, 6, -10, 38, Sit
14, 68, 11, 7, 8, 6, 21, 41, 9, 6, -10, 38, Sit
14, 64, 11, 7, 8, 6, 20, 41, 9, 6, -10, 38, Sit
14, 96, 11, 7, 8, 5, 20, 41, 9, 6, -10, 38, Sit
14, 96, 11, 7, 8, 5, 19, 41, 9, 5, -10, 38, Sit
14, 96, 10, 7, 8, 5, 18, 41, 9, 4, -10, 38, Sit
14, 96, 41, 7, 8, 5, 18, 41, 9, 4, -9, 38, Sit
14, 96, 41, 7, 8, 5, 18, 41, 9, 4, -7, 38, Sit
14, 96, 40, 7, 8, 5, 18, 38, 9, 4, -6, 35, Sit
14, 96, 9, 7, 8, 5, 18, 38, 9, 4, -6, 35, Sit
11, 96, 8, 6, 8, 5, 18, 37, 9, 4, -6, 35, Sit
11, 96, 8, 6, 8, 5, 18, 37, 9, 4, -2, 34, Sit
11, 96, 8, 6, 8, 5, 18, 37, 9, 4, -2, 34, Sit
11, 96, 8, 6, 8, 5, 18, 37, 9, 4, -35, 34, Sit
11, 96, 8, 6, 7, 5, 18, 37, 9, 4, -34, 34, Sit
11, 96, 8, 6, 7, 5, 18, 37, 9, 4, -34, 34, Sit
11, 96, 8, 6, 7, 5, 18, 37, 9, 4, -34, 34, Sit
10, 96, 8, 6, 7, 5, 18, 35, 9, 4, -34, 34, Sit
10, 96, 8, 6, 7, 4, 18, 34, 9, 3, -34, 33, Sit
10, 96, 8, 6, 7, 4, 18, 34, 9, 3, -34, 33, Sit
10, 96, 8, 6, 7, 4, 18, 34, 9, 3, -34, 33, Sit
10, 93, 8, 6, 7, 4, 17, 34, 9, 3, -34, 33, Sit
10, 55, 8, 6, 7, 4, 15, 34, 9, 3, -34, 33, Sit
10, 82, 8, 6, 7, 4, 11, 32, 9, 3, -34, 33, Sit
10, 82, 8, 6, 7, 4, 48, 31, 9, 3, -34, 32, Sit
10, 82, 8, 6, 7, 4, 47, 28, 9, 3, -61, 32, Sit
10, 82, 8, 6, 6, 4, 47, 28, 9, 3, -25, 32, Sit
10, 81, 8, 6, 6, 4, 47, 28, 9, 3, -24, 32, Sit
10, 81, 7, 6, 6, 4, 47, 28, 9, 3, -24, 32, Sit
10, 81, 7, 6, 6, 4, 47, 28, 9, 3, -24, 32, Sit
10, 81, 7, 6, 6, 4, 39, 28, 9, 3, -24, 32, Sit
10, 81, 7, 6, 6, 4, 39, 28, 7, 3, -24, 32, Sit
9, 81, 5, 6, 6, 4, 38, 28, 7, 3, -24, 32, Sit
9, 81, 5, 6, 6, 4, 38, 28, -8, 1, -24, 32, Sit
9, 81, 5, 6, 6, 3, 38, 28, -8, 0, -21, 32, Sit
9, 81, 5, 6, 6, 3, 38, 28, -8, 0, -21, 32, Sit
9, 81, 5, 6, 6, 3, 38, 28, -8, 0, -21, 32, Sit
9, 81, 5, 5, 6, 3, 38, 28, -8, 0, -21, 28, Sit
9, 81, 5, -9, 6, 3, 38, 25, -8, 0, -21, 26, Sit
9, 81, 5, -9, 6, 2, 38, 20, -8, 0, -20, 18, Sit
9, 81, 5, -9, 6, 1, 38, 20, -8, 0, -20, 12, Sit
9, 81, 5, -9, 6, 1, 38, 20, -8, 0, -54, 12, Sit
9, 19, 4, -9, 6, 1, 38, 20, -8, 0, -17, 12, Sit
9, 79, 4, -9, 6, 1, 38, 20, -8, 0, -16, 12, Sit
9, 79, 4, -9, 6, 1, 38, 20, -8, 0, -16, 12, Sit
9, 79, 4, -9, 6, 1, 36, 20, -8, 0, -16, 12, Sit
9, 78, 4, -9, 5, 1, 36, 20, -8, 0, -16, 12, Sit
9, 78, 24, -9, 5, 1, 36, 20, -8, 0, -16, 12, Sit
9, 78, 24, -9, 5, 1, 35, 20, -8, 0, -16, 12, Sit
9, 78, 24, -9, 5, 1, 34, 20, -8, 0, -16, 12, Sit
9, 77, 24, -9, 5, 1, 31, 20, -8, 0, -16, 12, Sit
9, 77, 24, -9, 5, 1, 31, 20, -8, 0, -16, 12, Sit
9, 77, 24, -9, 5, 1, 31, 20, -7, 0, -15, 12, Sit
9, 77, 24, -9, 4, 1, 31, 20, -7, 0, -15, 12, Sit
9, 77, 24, -9, -8, 1, 31, 20, -7, 0, -15, 12, Sit
9, 77, 24, -8, -7, 1, 30, 20, -6, 0, -14, 12, Sit
9, 77, 24, -8, -7, 1, 30, 20, -2, 0, -11, 12, Sit
6, 76, 24, -6, -7, 1, 30, 54, -2, 0, -11, 11, Sit
8, 72, 38, 9, 10, 15, 76, 34, 10, 5, -35, 7, Stand
8, 70, 33, 9, 10, 15, 74, 32, 10, 4, -33, 5, Stand
8, 70, 32, 9, -6, 15, 72, 28, -5, 4, -27, 3, Stand
8, 70, 30, 8, -6, 15, 71, 28, -5, 3, -27, 3, Stand
8, 63, 27, 8, -6, 15, 71, 28, -5, 3, -27, 2, Stand
8, 63, 27, 7, -4, 14, 71, 27, -3, 3, -26, 2, Stand
7, 62, 27, 6, 9, 13, 69, 26, -2, 3, -26, 2, Stand
7, 62, 26, 6, 9, 13, 61, 19, -2, 3, -23, 1, Stand
7, 62, 26, 5, 9, 13, 98, 4, -1, 2, -22, 1, Stand
